Vessel/Spill,Address,Lat/Lng,Date,Minimum Spill,Maximum Spill,Company,Refs
Guarapiche River,"Venezuela, Maturín, Monagas","9.7333906, -63.1914317",04-Feb-12,680,41000,PDVSA,[80][81]
Nigeria,"Nigeria, Bonga Field","9.081999, 8.675277",21-Dec-11,5500,5500,Royal Dutch Shell,[82]
TK Bremen,"France, Brittany, Erdeven","47.641773, -3.156467",16-Dec-11,220,220,Blue Atlantic Shipping,[83]
Campos Basin,"Brazil, Campos Basin, Frade Field","41.104633, -73.43207600000001",7 November 2011 � 15 November 2011,89,400,Chevron Corporation,[84] [85]
Rena oil spill,"New Zealand, Tauranga, Bay of Plenty","-37.7475768, 176.1220183",5 October 2011 � August 2012,350,350,Costamare,[86] [87]
"Gannet Alpha platform, North Sea","United Kingdom, North Sea, Gannet Alpha platform","57.1420754, -2.1209745",10 August 2011 � 13 August 2011,216,216,Royal Dutch Shell,[88]
Yellowstone River,"United States, Billings, Montana, Yellowstone River","45.7832856, -108.5006904",01-Jul-11,105,140,ExxonMobil,[89]
Bohai Bay oil spill,"China, Bohai Bay","38.8495365, 119.7889248",4 June 2011 � 19 June 2011,204,204,ConocoPhillips,[90][91]
Little Buffalo oil spill,"Canada, Alberta","53.9332706, -116.5765035",29-Apr-11,3800,3800,Plains All American Pipeline,[92][93]
Mumbai-Uran pipeline spill,"India, Mumbai, Arabian Sea","19.0759837, 72.8776559",21-Jan-11,40,55,,
Fiume Santo power station,"Italy, Sardinia, Porto Torres","40.8283713, 8.3417006",11-Jan-11,15,15,,[94]
Mumbai oil spill / MV MSC Chitra and MV Khalijia 3,"India, Mumbai, Arabian Sea","19.0759837, 72.8776559",7 August 2010 � 9 August 2010,400,800,,[95][96][97]
Barataria Bay oil spill,"United States, Barataria Bay, Gulf of Mexico","29.3947018, -89.9440061",27 July 2010 � 1 August 2010,23,45,Cedyco Corp.,[98][99][100][101]
Kalamazoo River oil spill,"United States, Kalamazoo River, Calhoun County, Michigan","42.2073905, -85.02334599999999",26-Jul-10,2800,3250,Enbridge,[102][103]
Xingang Port oil spill,"China, Yellow Sea","34.963069, 119.311749",16 July 2010 � 21 July 2010,1500,90000,,[104] [105]
Jebel al-Zayt oil spill,"Egypt, Red Sea","24.6826316, 34.1531947",16 June 2010 � 23 June 2010,,,,[106]
Red Butte Creek oil spill,"United States, Salt Lake City, Utah","40.7607793, -111.8910474",11 June 2010 � 12 June 2010,65,107,,[107][108]
Trans-Alaska Pipeline,"United States, Anchorage, Alaska","61.2180556, -149.9002778",25-May-10,400,1200,,[109]
MT Bunga Kelana 3,"Singapore, Singapore Strait","1.2873932, 104.1466046",25-May-10,2000,2500,,[110][111][112]
ExxonMobil,"Nigeria, Niger Delta","38.9019422, -77.0332115",01-May-10,3246,95500,ExxonMobil,[113][114][115]
Deepwater Horizon,"United States, Gulf of Mexico","37.09024, -95.712891",20 April 2010 � 15 July 2010,492000,627000,BP,[116]
Great Barrier Reef / MV Shen Neng 1,Australia Great Keppel Island,"-23.1783958, 150.9481887",03-Apr-10,3,4,Shenzhen Energy,[117][118][119]
Lambro and Po rivers,"Italy, Lombardy, Monza","45.5845001, 9.2744485",23-Feb-10,15,15,,[120]
Port Arthur oil spill,"United States, Port Arthur, Texas","29.8849504, -93.93994699999999",23-Jan-10,1500,1500,,[121]
Yellow River oil spill,"China, Chishui River (Shaanxi)","28.4768742, 105.7638633",05-Jan-10,130,130,,[122]
Montara oil spill,"Australia, Timor Sea","-11.3494247, 127.9784585",21-Aug-09,4000,30000,PTT Exploration and Production,[123][124]
Full City,"Norway, Rognsfjorden near Såstein south of Langesund","58.99873119999999, 9.7428466",31-Jul-09,200,200,COSCO,[125]
Lüderitz oil spill,"Namibia, Southern coast","43.5703866, -89.77074859999999",08-Apr-09,,,unknown,[126]
Pacific Adventurer,"Australia, Queensland","-20.9175738, 142.7027956",10-Mar-09,230,260,Swire Shipping,[127]
West Cork oil spill,"Ireland, Southern coast","53.1423672, -7.692053599999999",Feb-09,300,300,,[128]
2008 New Orleans oil spill,"United States, New Orleans, Louisiana","29.95106579999999, -90.0715323",28-Jul-08,8800,8800,,[129]
Shell Bodo pipeline oil spill,Nigeria,"9.081999, 8.675277",01-Aug-08,1000,1000,Royal Dutch Shell,[130]
Syros / Seabird collision,"Uruguay, near the Rio de la Plata, Montevideo","-34.9011127, -56.16453139999999",04-Jun-08,140,140,,[131][132]
Supe,"Peru, off Zorritos","-3.6817005, -80.67985209999999",31-Jan-08,35,35,,[133]
Statfjord oil spill,"Norway, Norwegian Sea","68.8773537, 3.13966",12-Dec-07,4000,4000,"Statoil Petroleum, ExxonMobil, Centrica",[134]
Korea oil spill,"South Korea, Yellow Sea","35.4942771, 123.7964613",07-Dec-07,10800,10800,,[135][136]
Kerch Strait oil spill,"Ukraine Russia, Strait of Kerch","45.2414255, 36.529626",11-Nov-07,1000,1000,,[137]
COSCO Busan oil spill,"United States, San Francisco, California","37.7749295, -122.4194155",07-Nov-07,188,188,,[138]
Kab 101,"Mexico, Bay of Campeche","20.2759055, -94.3976357",23 October 2007 � 17 December 2007,1869,1869,,[139]
Genmar Progress Spill,"Puerto Rico, Guayanilla, Puerto Rico","18.0373245, -66.7962869",30-Aug-07,151,151,General Maritime Corporation (GMC) Progress LLC,[140]
Burnaby spill,"Canada, Burnaby, British Columbia","49.2488091, -122.9805104",24-Jul-07,201,201,Kinder Morgan Energy Partners,[141]
Guimaras oil spill,"Philippines, Guimaras Strait","10.7708122, 122.8535755",11-Aug-06,172,1540,,[142]
Jiyeh power station oil spill,Lebanon,"33.854721, 35.862285",14 July 2006 � 15 July 2006,20000,30000,,[142]
Citgo refinery,"United States, Lake Charles, Louisiana","30.2265949, -93.2173758",19-Jun-06,6500,6500,,[143]
Prudhoe Bay oil spill,"United States, Alaska North Slope, Alaska","69.05787579999999, -152.8628274",02-Mar-06,653,689,,[144]
Eider,"Chile, Antofagasta","-23.6509279, -70.39750219999999",31-Oct-05,200,200,,[145][146][147][148]
Bass Enterprises Oil Spill (Hurricane Katrina),"United States, Cox Bay, Louisiana","29.4826804, -89.6216334",30-Aug-05,12000,12000,,[149]
Shell (Hurricane Katrina),"United States, Pilottown, Louisiana","29.1816126, -89.2575512",30-Aug-05,3400,3400,Royal Dutch Shell,[149]
